Timestamp,Date,User_Group,VLAN,Source_IP,Application,Traffic_MB,Action,Connection_Type
2026-02-22 08:05:12,2026-02-22,IT,VLAN 20,10.1.20.32,HTTPS,682.15,Deny,Wired
2026-02-13 23:21:22,2026-02-13,IT,VLAN 20,10.1.20.34,SMB,586.44,Permit,Wired
2026-03-10 07:46:09,2026-03-10,Finance,VLAN 30,10.1.30.78,DNS,20.08,Permit,Wired
2026-02-21 00:43:20,2026-02-21,Finance,VLAN 30,10.1.30.64,HTTP,18.33,Permit,Wired
2026-03-01 20:23:31,2026-03-01,IT,VLAN 20,10.1.20.44,SSH,32.72,Permit,Wired
2026-02-23 05:36:29,2026-02-23,Finance,VLAN 30,10.1.30.73,HTTPS,824.94,Permit,Wi-Fi
2026-02-12 06:17:41,2026-02-12,Finance,VLAN 30,10.1.30.90,Active Directory,7.67,Deny,Wi-Fi
2026-02-26 18:19:41,2026-02-26,IT,VLAN 20,10.1.20.45,HTTP,28.56,Deny,Wired
2026-02-16 06:56:50,2026-02-16,Guest,VLAN 40,10.1.40.96,Active Directory,29.11,Deny,Wi-Fi
2026-02-14 09:21:08,2026-02-14,HR,VLAN 30,10.1.30.46,Active Directory,20.86,Permit,Wi-Fi
2026-02-17 08:09:23,2026-02-17,Guest,VLAN 40,10.1.40.139,Active Directory,22.39,Deny,Wi-Fi
2026-03-01 15:33:17,2026-03-01,Finance,VLAN 30,10.1.30.68,SSH,22.82,Deny,Wi-Fi
2026-02-28 03:39:32,2026-02-28,HR,VLAN 30,10.1.30.32,Active Directory,38.19,Permit,Wired
2026-02-23 01:58:08,2026-02-23,Guest,VLAN 40,10.1.40.66,Radius,45.26,Deny,Wi-Fi
2026-02-12 05:18:07,2026-02-12,Staff,VLAN 30,10.1.30.147,HTTPS,369.15,Permit,Wi-Fi
2026-02-15 04:15:01,2026-02-15,IT,VLAN 20,10.1.20.22,Radius,29.7,Permit,Wired
2026-03-03 23:32:02,2026-03-03,Staff,VLAN 30,10.1.30.190,DNS,43.09,Permit,Wired
2026-03-01 12:12:43,2026-03-01,Finance,VLAN 30,10.1.30.64,Active Directory,36.73,Permit,Wi-Fi
2026-03-09 22:11:14,2026-03-09,IT,VLAN 20,10.1.20.16,Radius,31.11,Permit,Wired
2026-03-02 06:34:09,2026-03-02,Staff,VLAN 30,10.1.30.104,SMB,398.36,Permit,Wi-Fi
2026-03-09 07:11:37,2026-03-09,Finance,VLAN 30,10.1.30.72,HTTPS,313.29,Permit,Wired
2026-02-17 17:22:39,2026-02-17,IT,VLAN 20,10.1.20.17,Radius,33.03,Permit,Wired
2026-02-28 19:48:31,2026-02-28,Guest,VLAN 40,10.1.40.189,SMB,258.31,Deny,Wi-Fi
2026-02-10 15:03:12,2026-02-10,Finance,VLAN 30,10.1.30.95,FTP,356.6,Deny,Wi-Fi
2026-02-14 21:05:42,2026-02-14,HR,VLAN 30,10.1.30.43,HTTP,5.0,Deny,Wired
2026-03-08 04:13:35,2026-03-08,IT,VLAN 20,10.1.20.47,Radius,7.29,Deny,Wired
2026-02-11 23:01:06,2026-02-11,HR,VLAN 30,10.1.30.26,FTP,885.74,Permit,Wi-Fi
2026-02-10 09:03:48,2026-02-10,Finance,VLAN 30,10.1.30.61,DNS,33.79,Deny,Wired
2026-03-09 10:01:49,2026-03-09,Guest,VLAN 40,10.1.40.17,SMB,17.04,Deny,Wi-Fi
2026-02-14 04:40:40,2026-02-14,Staff,VLAN 30,10.1.30.199,SMB,639.41,Permit,Wired
2026-03-10 15:44:50,2026-03-10,Finance,VLAN 30,10.1.30.60,FTP,608.98,Permit,Wired
2026-03-10 03:27:09,2026-03-10,IT,VLAN 20,10.1.20.28,Radius,1.42,Permit,Wired
2026-03-03 01:05:24,2026-03-03,Guest,VLAN 40,10.1.40.99,HTTP,18.21,Permit,Wi-Fi
2026-02-10 11:49:27,2026-02-10,HR,VLAN 30,10.1.30.14,SSH,42.94,Permit,Wi-Fi
2026-03-10 09:31:05,2026-03-10,Finance,VLAN 30,10.1.30.89,Active Directory,46.0,Permit,Wired
2026-03-05 21:54:17,2026-03-05,IT,VLAN 20,10.1.20.14,SMB,310.6,Permit,Wi-Fi
2026-02-21 10:54:35,2026-02-21,Guest,VLAN 40,10.1.40.45,SSH,14.44,Deny,Wi-Fi
2026-03-01 21:51:55,2026-03-01,Finance,VLAN 30,10.1.30.76,DNS,17.29,Permit,Wired
2026-02-18 09:00:57,2026-02-18,Finance,VLAN 30,10.1.30.83,HTTPS,994.78,Deny,Wi-Fi
2026-03-02 19:43:27,2026-03-02,Finance,VLAN 30,10.1.30.81,FTP,380.9,Permit,Wired
2026-02-20 14:03:59,2026-02-20,Staff,VLAN 30,10.1.30.114,HTTP,46.99,Deny,Wi-Fi
2026-02-18 19:31:03,2026-02-18,HR,VLAN 30,10.1.30.27,Radius,4.66,Permit,Wired
2026-03-11 11:46:38,2026-03-11,Finance,VLAN 30,10.1.30.88,FTP,830.97,Permit,Wi-Fi
2026-03-07 23:31:14,2026-03-07,Guest,VLAN 40,10.1.40.80,Active Directory,44.22,Deny,Wi-Fi
2026-02-11 04:13:49,2026-02-11,Guest,VLAN 40,10.1.40.52,SSH,40.34,Deny,Wi-Fi
2026-02-23 04:24:30,2026-02-23,Staff,VLAN 30,10.1.30.186,HTTP,24.58,Permit,Wi-Fi
2026-03-06 13:10:38,2026-03-06,IT,VLAN 20,10.1.20.12,SSH,26.69,Permit,Wi-Fi
2026-03-05 22:19:23,2026-03-05,Staff,VLAN 30,10.1.30.192,FTP,866.86,Deny,Wired
2026-02-10 20:00:08,2026-02-10,Staff,VLAN 30,10.1.30.113,HTTP,32.59,Deny,Wired
2026-02-16 05:52:17,2026-02-16,Staff,VLAN 30,10.1.30.121,FTP,719.65,Permit,Wired
2026-03-03 11:53:24,2026-03-03,Guest,VLAN 40,10.1.40.174,FTP,195.79,Deny,Wi-Fi
2026-03-08 11:59:58,2026-03-08,HR,VLAN 30,10.1.30.38,FTP,707.85,Permit,Wired
2026-02-27 11:31:57,2026-02-27,Guest,VLAN 40,10.1.40.96,HTTP,17.52,Permit,Wi-Fi
2026-02-26 14:35:14,2026-02-26,Finance,VLAN 30,10.1.30.95,DNS,41.32,Deny,Wired
2026-03-10 07:22:11,2026-03-10,Staff,VLAN 30,10.1.30.181,HTTPS,344.77,Deny,Wired
2026-02-14 08:50:01,2026-02-14,IT,VLAN 20,10.1.20.36,HTTPS,570.95,Permit,Wi-Fi
2026-02-16 14:04:28,2026-02-16,Staff,VLAN 30,10.1.30.160,DNS,46.11,Permit,Wi-Fi
2026-02-11 19:52:17,2026-02-11,IT,VLAN 20,10.1.20.40,SMB,546.24,Deny,Wi-Fi
2026-02-11 19:34:12,2026-02-11,Guest,VLAN 40,10.1.40.164,Active Directory,9.23,Deny,Wi-Fi
2026-02-10 22:34:25,2026-02-10,Finance,VLAN 30,10.1.30.83,Active Directory,28.29,Deny,Wired
2026-03-09 19:19:56,2026-03-09,HR,VLAN 30,10.1.30.37,Radius,39.19,Permit,Wi-Fi
2026-02-13 16:21:59,2026-02-13,IT,VLAN 20,10.1.20.39,SSH,12.81,Permit,Wired
2026-02-24 14:54:57,2026-02-24,Guest,VLAN 40,10.1.40.29,HTTPS,154.9,Permit,Wi-Fi
2026-03-10 08:26:24,2026-03-10,Finance,VLAN 30,10.1.30.95,DNS,49.0,Permit,Wi-Fi
2026-02-25 07:49:08,2026-02-25,IT,VLAN 20,10.1.20.45,Active Directory,11.93,Permit,Wi-Fi
2026-03-10 23:25:49,2026-03-10,HR,VLAN 30,10.1.30.48,FTP,115.37,Permit,Wired
2026-03-10 17:14:29,2026-03-10,IT,VLAN 20,10.1.20.48,Radius,7.57,Deny,Wi-Fi
2026-02-26 02:31:23,2026-02-26,Staff,VLAN 30,10.1.30.175,HTTP,1.26,Deny,Wired
2026-02-22 03:31:51,2026-02-22,HR,VLAN 30,10.1.30.26,HTTPS,614.29,Permit,Wired
2026-02-28 06:44:54,2026-02-28,Finance,VLAN 30,10.1.30.95,SSH,15.18,Permit,Wi-Fi
2026-02-17 23:38:28,2026-02-17,Finance,VLAN 30,10.1.30.91,HTTP,47.76,Deny,Wired
2026-02-15 05:57:00,2026-02-15,HR,VLAN 30,10.1.30.36,SSH,12.13,Deny,Wired
2026-03-03 16:33:04,2026-03-03,IT,VLAN 20,10.1.20.49,Active Directory,28.13,Permit,Wi-Fi
2026-03-03 21:07:32,2026-03-03,Guest,VLAN 40,10.1.40.136,HTTPS,10.15,Deny,Wi-Fi
2026-02-26 18:50:40,2026-02-26,Staff,VLAN 30,10.1.30.135,DNS,34.15,Permit,Wired
2026-02-12 09:19:35,2026-02-12,Finance,VLAN 30,10.1.30.53,HTTPS,628.67,Deny,Wi-Fi
2026-02-15 04:47:44,2026-02-15,IT,VLAN 20,10.1.20.41,Active Directory,26.41,Permit,Wi-Fi
2026-03-10 05:02:45,2026-03-10,Finance,VLAN 30,10.1.30.79,SSH,24.51,Permit,Wi-Fi
2026-03-10 00:25:44,2026-03-10,HR,VLAN 30,10.1.30.21,FTP,704.71,Permit,Wired
2026-02-28 12:54:53,2026-02-28,IT,VLAN 20,10.1.20.32,SSH,6.92,Permit,Wired
2026-03-02 11:02:41,2026-03-02,HR,VLAN 30,10.1.30.35,HTTPS,1004.46,Permit,Wi-Fi
2026-02-16 04:45:17,2026-02-16,IT,VLAN 20,10.1.20.47,FTP,971.45,Deny,Wi-Fi
2026-03-03 12:08:31,2026-03-03,IT,VLAN 20,10.1.20.38,Radius,5.91,Deny,Wi-Fi
2026-03-09 17:32:04,2026-03-09,HR,VLAN 30,10.1.30.40,HTTP,28.38,Permit,Wi-Fi
2026-02-11 10:24:22,2026-02-11,Staff,VLAN 30,10.1.30.154,SSH,1.8,Deny,Wi-Fi
2026-02-13 09:59:07,2026-02-13,Guest,VLAN 40,10.1.40.87,SMB,425.06,Deny,Wi-Fi
2026-03-01 17:52:25,2026-03-01,IT,VLAN 20,10.1.20.17,SMB,125.62,Deny,Wired
2026-02-26 05:27:41,2026-02-26,Finance,VLAN 30,10.1.30.60,HTTPS,291.34,Permit,Wired
2026-02-23 08:52:27,2026-02-23,Finance,VLAN 30,10.1.30.53,Radius,20.3,Permit,Wi-Fi
2026-02-25 21:03:31,2026-02-25,HR,VLAN 30,10.1.30.38,DNS,25.32,Deny,Wired
2026-02-18 22:16:01,2026-02-18,IT,VLAN 20,10.1.20.12,DNS,43.9,Deny,Wi-Fi
2026-02-14 16:11:47,2026-02-14,Guest,VLAN 40,10.1.40.172,FTP,465.7,Deny,Wi-Fi
2026-02-10 23:22:32,2026-02-10,Staff,VLAN 30,10.1.30.118,DNS,40.17,Permit,Wired
2026-02-28 07:33:07,2026-02-28,Staff,VLAN 30,10.1.30.155,HTTP,29.12,Deny,Wi-Fi
2026-03-11 08:35:20,2026-03-11,IT,VLAN 20,10.1.20.14,HTTP,35.12,Deny,Wired
2026-03-10 19:19:33,2026-03-10,Guest,VLAN 40,10.1.40.173,Active Directory,33.63,Deny,Wi-Fi
2026-03-04 20:05:44,2026-03-04,Finance,VLAN 30,10.1.30.59,DNS,42.1,Permit,Wi-Fi
2026-03-11 00:14:28,2026-03-11,HR,VLAN 30,10.1.30.12,HTTPS,79.84,Deny,Wired
2026-02-20 05:12:22,2026-02-20,Finance,VLAN 30,10.1.30.76,FTP,860.72,Permit,Wired
2026-03-07 22:45:36,2026-03-07,IT,VLAN 20,10.1.20.23,Radius,48.53,Permit,Wi-Fi
2026-02-10 12:28:10,2026-02-10,Guest,VLAN 40,10.1.40.72,HTTPS,812.05,Permit,Wi-Fi
2026-02-10 12:31:05,2026-02-10,Staff,VLAN 30,10.1.30.118,FTP,829.58,Permit,Wired
2026-02-26 00:02:17,2026-02-26,IT,VLAN 20,10.1.20.18,FTP,119.38,Deny,Wi-Fi
2026-02-14 11:14:01,2026-02-14,HR,VLAN 30,10.1.30.49,HTTPS,1023.55,Permit,Wired
2026-03-08 08:22:31,2026-03-08,Finance,VLAN 30,10.1.30.57,DNS,49.91,Permit,Wi-Fi
2026-02-26 05:07:09,2026-02-26,IT,VLAN 20,10.1.20.48,HTTP,17.63,Permit,Wired
2026-03-09 19:32:55,2026-03-09,IT,VLAN 20,10.1.20.38,SSH,35.15,Permit,Wired
2026-02-16 20:18:11,2026-02-16,HR,VLAN 30,10.1.30.37,SSH,25.3,Permit,Wired
2026-02-28 21:15:28,2026-02-28,Finance,VLAN 30,10.1.30.62,Active Directory,7.33,Permit,Wired
2026-03-04 07:27:27,2026-03-04,Finance,VLAN 30,10.1.30.85,FTP,535.52,Deny,Wi-Fi
